Loop_time_sec, CPU_u
0.00499825,100
0.00429879,0
0.00440238,nan
0.00422367,nan
0.00431413,0
0.00431342,nan
0.00440054,nan
0.00423142,nan
0.00431421,0
0.00431267,nan
0.00439992,100
0.00422654,nan
0.00435567,0
0.00427088,nan
0.00440329,nan
0.00423413,0
0.004313,nan
0.00431608,nan
0.00440275,100
0.004197,0
0.00435467,nan
0.00431575,nan
0.00440287,100
0.00418962,0
0.00435904,nan
0.00431358,nan
0.00440142,0
0.004198,nan
0.00436037,nan
0.00431404,nan
0.00428417,0
0.00432679,nan
0.00435704,nan
0.00431454,nan
0.00439825,50
0.00419596,nan
0.00435892,nan
0.00431563,0
0.00440242,nan
0.00419883,nan
0.00436129,nan
0.00426821,0
0.00439879,100
0.00419788,nan
0.00435817,0
0.00431417,nan
0.00440683,100
0.00419008,nan
0.00436004,0
0.00431338,nan
0.00440133,nan
0.00420162,nan
0.0043595,0
0.00431138,nan
0.00440067,nan
0.00420337,0
0.00435646,nan
0.00432508,nan
0.00439288,nan
0.00419896,0
0.00435958,nan
0.00431346,nan
0.00440363,100
0.00419371,0
0.00436196,nan
0.00431442,nan
0.004401,0
0.00419733,nan
0.00436179,nan
0.00431688,nan
0.00441858,50
0.00417567,nan
0.00435617,nan
0.00431267,nan
0.00440121,0
0.00420271,nan
0.00435917,nan
0.00432217,0
0.00439258,100
0.00419471,nan
0.00436004,nan
0.00431733,0
0.00435471,nan
0.00419971,nan
0.00436,nan
0.00431196,0
0.00439975,nan
0.00420121,nan
0.00435867,0
0.00431112,nan
0.00439983,100
0.00419487,nan
0.00435958,0
0.00431192,nan
0.00440058,nan
0.00420396,0
0.00435504,nan
0.00428833,nan
0.00443958,nan
0.00420504,0
0.00432446,nan
0.00435371,nan
0.00436317,100
0.00419246,0
0.00436158,nan
0.00431179,nan
0.00440238,nan
0.00419954,0
0.00435875,nan
0.00431267,nan
0.00440067,50
0.00421775,nan
0.00433462,nan
0.0043135,nan
0.00440112,0
0.00420337,nan
0.00435763,nan
0.00429004,nan
0.00444142,0
0.00419883,nan
0.0043615,nan
0.00435371,0
0.00435821,100
0.00419312,nan
0.00436129,nan
0.00431429,0
0.00439954,nan
0.00420196,nan
0.00435758,0
0.00431379,nan
0.00439921,nan
0.004227,nan
0.00433817,0
0.00431258,nan
0.00440121,100
0.00419517,nan
0.00435938,0
0.00431267,nan
0.00440137,nan
0.00419979,0
0.00435908,nan
0.00430958,nan
0.00435846,nan
0.00420421,0
0.00435571,nan
0.00431296,nan
0.00440242,50
0.00419096,nan
0.00435879,nan
0.00431304,nan
0.00440133,0
0.00422267,nan
0.00433204,nan
0.00431563,nan
0.00440171,0
0.0042015,nan
0.00435813,nan
0.00431325,0
0.0044015,100
0.00419117,nan
0.00435996,nan
0.00435729,0
0.00435904,nan
0.00420075,nan
0.00436,0
0.00431296,nan
0.00440112,nan
0.00419983,nan
0.00435958,0
0.00431262,nan
0.00440208,100
0.00421408,nan
0.00433612,0
0.00431429,nan
0.00439937,nan
0.00420512,nan
0.00439317,100
0.00432425,0
0.004378,nan
0.00422004,nan
0.00431079,0
0.00430117,nan
0.00434471,nan
0.00418921,nan
0.00434758,0
0.00430271,nan
0.00439075,100
0.00418329,nan
0.00434954,0
0.004303,nan
0.00439108,nan
0.00419042,0
0.00434254,nan
0.004304,nan
0.00438825,100
0.00418592,0
0.00434438,nan
0.00430225,nan
0.00440812,nan
0.00419788,0
0.00432442,nan
0.00430129,nan
0.004392,nan
0.00418854,0
0.00434475,nan
0.00430242,nan
0.00438879,50
0.00418158,nan
0.004348,nan
0.00432333,nan
0.00436942,0
0.00419092,nan
0.00434925,nan
0.00430471,0
0.00439025,100
0.00417946,nan
0.00434783,nan
0.00430254,0
0.00439046,nan
0.00418838,nan
0.00435038,nan
0.00430013,0
0.0043915,nan
0.00416183,nan
0.00434996,0
0.00430267,nan
0.00438921,100
0.00418608,nan
0.00434783,0
0.00432504,nan
0.00436529,nan
0.00419338,nan
0.004348,0
0.00430267,nan
0.00438946,100
0.00418242,0
0.00434667,nan
0.00430242,nan
0.00439267,nan
0.00418896,0
0.00434742,nan
0.00430108,nan
0.00439283,0
0.00418867,nan
0.00434688,nan
0.004305,nan
0.00439075,50
0.00418408,nan
0.00434837,nan
0.00432542,nan
0.00436837,0
0.0041895,nan
0.00434667,nan
0.00427663,0
0.00443133,nan
0.00419267,nan
0.00434646,nan
0.00430571,0
0.00439096,100
0.0041855,nan
0.00434258,nan
0.00430275,0
0.00441404,nan
0.004165,nan
0.00431704,0
0.00430292,nan
0.00439021,nan
0.00419021,nan
0.00434808,0
0.00430188,nan
0.00439017,100
0.00418254,0
0.00434721,nan
0.00430396,nan
0.00438921,nan
0.00419796,0
0.00434113,nan
0.00430317,nan
0.00439246,100
0.00421112,0
0.0042995,nan
0.00430379,nan
0.00439087,0
0.00421846,nan
0.00430312,nan
0.00430629,nan
0.00439033,0
0.00421825,nan
0.00430229,nan
0.00434396,nan
0.00435238,50
0.00420988,nan
0.00430308,nan
0.00430471,0
0.00438617,100
0.00421487,nan
0.00430408,nan
0.00430504,0
0.00439242,nan
0.00422179,nan
0.00430325,100
0.00429467,0
0.00438713,nan
0.00422308,nan
0.004302,0
